QUES 54,1331. Rank Transform of an Array,https://leetcode.com/problems/rank-transform-of-an-array/,EASY
QUES 55,118. Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/,EASY
QUES 56,119. Pascal's Triangle II,https://leetcode.com/problems/pascals-triangle-ii/,EASY
QUES 57,1394. Find Lucky Integer in an Array,https://leetcode.com/problems/find-lucky-integer-in-an-array/,EASY
QUES 58,basic algo and maths,https://leetcode.com/problems/detect-pattern-of-length-m-repeated-k-or-more-times/,EASY
QUES 59,713. Subarray Product Less Than K,https://leetcode.com/problems/subarray-product-less-than-k/,MEDIUM
QUES 60,1290. Convert Binary Number in a Linked List to Integer,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/,EASY
QUES 61,152. Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,MEDIUM
QUES 62,628. Maximum Product of Three Numbers,https://leetcode.com/problems/maximum-product-of-three-numbers/,EASY
QUES 63,1295. Find Numbers with Even Number of Digits,https://leetcode.com/problems/find-numbers-with-even-number-of-digits/,EASY
QUES 64,238. Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,MEDIUM
QUES 65,203. Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements/,EASY
QUES 66,237. Delete Node in a Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list/,EASY
QUES 67,206. Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/submissions/,EASY
QUES 68,234. Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list/,EASY
QUES 69,21. Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,EASY
QUES 70,88. Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,EASY
QUES 71,704. Binary Search,https://leetcode.com/problems/binary-search/,EASY
QUES 72,141. Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,EASY
QUES 73,977. Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array/,EASY
QUES 74,125. Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,EASY
QUES 75,680. Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii/,EASY
QUES 76,1588. Sum of All Odd Length Subarrays,https://leetcode.com/problems/sum-of-all-odd-length-subarrays/,EASY
QUES 77,378. Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,MEDIUM
QUES 78,718. Maximum Length of Repeated Subarray,https://leetcode.com/problems/maximum-length-of-repeated-subarray/,MEDIUM
QUES 79,485. Max Consecutive Ones,https://leetcode.com/problems/max-consecutive-ones/,EASY
QUES 80,209. Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,MEDIUM
QUES 81,300. Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,MEDIUM
QUES 82,1089. Duplicate Zeros,https://leetcode.com/problems/duplicate-zeros/,EASY
QUES 83,27. Remove Element,https://leetcode.com/problems/remove-element/submissions/,EASY
QUES 84,1925. Count Square Sum Triples,https://leetcode.com/problems/count-square-sum-triples/,EASY
QUES 85,26. Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,EASY
QUES 86,1346. Check If N and Its Double Exist,https://leetcode.com/problems/check-if-n-and-its-double-exist/,EASY
QUES 87,791. Custom Sort String,https://leetcode.com/problems/custom-sort-string/,MEDIUM
QUES 88,611. Valid Triangle Number,https://leetcode.com/problems/valid-triangle-number/,MEDIUM
QUES 89,287. Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,MEDIUM
QUES 90,268. Missing Number,https://leetcode.com/problems/missing-number/,EASY
QUES 91,136. Single Number,https://leetcode.com/problems/single-number/,EASY
